id,area,population,unemployee,crime
01468,北海道 下川町,4146,121,17
01469,北海道 美深町,5512,108,24
01470,北海道 音威子府村,1070,24,6
01471,北海道 中川町,2106,36,9
01472,北海道 幌加内町,1952,38,17
01481,北海道 増毛町,5708,159,43
01482,北海道 小平町,4272,89,22
01483,北海道 苫前町,4202,143,29
01484,北海道 羽幌町,8740,252,40
01485,北海道 初山別村,1511,13,20
01486,北海道 遠別町,3421,59,17
01487,北海道 天塩町,4030,82,33
01511,北海道 猿払村,2940,28,5
01512,北海道 浜頓別町,4582,89,20
01513,北海道 中頓別町,2289,42,11
01514,北海道 枝幸町,9815,119,42
01516,北海道 豊富町,4850,113,37
01517,北海道 礼文町,3410,40,3
01518,北海道 利尻町,2951,80,4
01519,北海道 利尻富士町,3239,31,7
01520,北海道 幌延町,2784,36,28
01543,北海道 美幌町,22819,588,188
01544,北海道 津別町,6222,106,55
01545,北海道 斜里町,13431,247,108
01546,北海道 清里町,5025,103,43
01547,北海道 小清水町,5753,99,58
01549,北海道 訓子府町,5981,102,39
01550,北海道 置戸町,3699,78,17
01552,北海道 佐呂間町,6393,76,37
01555,北海道 遠軽町,23648,544,181
01559,北海道 湧別町,10758,166,59
01560,北海道 滝上町,3366,38,12
01561,北海道 興部町,4589,70,25
01562,北海道 西興部村,1224,17,5
01563,北海道 雄武町,5507,87,20
01564,北海道 大空町,8392,122,44
01571,北海道 豊浦町,4771,123,33
01575,北海道 壮瞥町,3473,64,49
01578,北海道 白老町,20748,743,242
01581,北海道 厚真町,5240,74,64
01584,北海道 洞爺湖町,11343,291,102
01585,北海道 安平町,9131,205,60
01586,北海道 むかわ町,10602,199,109
01601,北海道 日高町,14730,300,121
01602,北海道 平取町,6173,124,58
01604,北海道 新冠町,6034,175,46
01607,北海道 浦河町,15698,323,95
01608,北海道 様似町,5711,159,25
01609,北海道 えりも町,5796,113,24
01610,北海道 新ひだか町,27265,919,313
01631,北海道 音更町,42452,1092,313
01632,北海道 士幌町,6755,105,25
01633,北海道 上士幌町,5229,59,45
01634,北海道 鹿追町,5876,65,20
01635,北海道 新得町,7243,130,49
01636,北海道 清水町,10464,219,70
01637,北海道 芽室町,18300,355,179
01638,北海道 中札内村,3983,67,19
01639,北海道 更別村,3326,24,11
01641,北海道 大樹町,6407,91,29
01642,北海道 広尾町,8325,202,53
01643,北海道 幕別町,26868,556,170
01644,北海道 池田町,8193,171,60
01645,北海道 豊頃町,3732,53,25
01646,北海道 本別町,9072,196,43
01647,北海道 足寄町,8317,182,57
01648,北海道 陸別町,2956,52,14
01649,北海道 浦幌町,6068,126,46
01661,北海道 釧路町,21855,798,372
01662,北海道 厚岸町,11525,183,78
01663,北海道 浜中町,7005,97,24
